Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-04-24 18:26:00,false,"Diemen Walking","7,19","363","01:40:12","65","88","0,3","23","165","13:56","2:36","23","18","6,28","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","8.062","--","--","-3","--","No","00:02:55,6","8","--","--","--","--","01:33:02","01:40:12","-4","8"
Running,2026-04-24 15:08:02,false,"Diemen Running 💊🚚","10,04","665","00:49:15","160","176","3,9","168","178","4:54","4:02","39","19","1,22","7,5","9,4","281","50,0% L / 50,0% R","4:54","--","--","356","0,0","--","355","459","--","--","--","8.198","--","--","-8","--","No","00:00:10,9","11","--","38","17","46","00:49:12","00:56:02","-8","12"
Road Cycling,2026-04-24 10:11:54,false,"Amsterdam Road Cycling","41,32","832","01:46:33","--","--","2,0","--","--","23,3","37,2","101","106","--","--","--","--","--","--","74","103","128","73,8","153","107","444","7582","--","--","--","--","--","--","11,0","No","00:02:54,7","9","16,0","--","--","--","01:46:17","01:51:59","-4","10"
Running,2026-04-23 12:29:26,false,"Diemen Running","3,04","198","00:15:00","159","169","2,8","169","185","4:56","3:30","12","6","1,20","7,9","9,7","265","50,2% L / 49,8% R","4:56","--","--","348","0,0","--","346","536","--","--","--","2.526","--","--","-4","--","No","00:00:12,5","4","--","37","19","43","00:14:59","00:15:00","-5","3"
Pool Swim,2026-04-23 11:28:28,false,"Pool Swim","1.325","309","00:30:33","139","159","2,7","--","--","2:13","1:59","--","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","638","45","22","--","--","--","--","--","No","00:30:33","1","--","--","--","--","00:29:17","00:32:06","--","--"
Road Cycling,2026-04-21 11:39:37,false,"Diemen Road Cycling","41,03","998","01:26:17","150","163","4,0","--","--","28,5","50,0","86","85","--","--","--","--","--","--","83","114","177","114,8","185","170","604","7103","--","--","--","--","--","--","13,0","No","00:02:00,4","9","21,0","34","15","42","01:26:08","01:37:48","-4","10"
Running,2026-04-19 12:24:44,false,"Amsterdam Running","1,13","75","00:05:44,6","160","179","2,0","133","238","5:06","3:53","8","4","1,23","11,6","14,4","253","58,0% L / 42,0% R","5:02","--","--","333","0,0","--","321","893","--","--","--","694","--","--","--","--","No","00:00:42,1","2","--","20","20","20","00:05:43,4","00:05:44,6","-4","3"
Running,2026-04-19 10:31:21,false,"Amsterdam Running","15,11","943","01:08:11","167","186","5,0","171","211","4:31","2:37","61","58","1,29","7,2","9,5","260","49,4% L / 50,6% R","4:31","--","--","374","0,0","--","372","657","--","--","--","11.608","--","--","-17","--","No","00:00:18,3","16","--","40","23","49","01:08:09","01:08:11","-8","12"
Walking,2026-04-18 18:04:41,false,"Diemen Walking","3,84","240","01:13:36","72","111","0,2","9","167","19:11","6:59","13","9","7,22","--","--","--","--","--","--","--","--","0,0","--","--","--","--","--","--","3.186","--","--","-4","--","No","00:15:32","4","--","--","--","--","00:54:47","01:20:22","-3","6"
Running,2026-04-18 16:02:19,false,"Diemen Running","7,12","482","00:37:38","159","169","3,7","167","175","5:17","4:38","20","14","1,13","8,0","9,3","283","50,1% L / 49,9% R","5:16","--","--","326","0,0","--","324","420","--","--","--","6.248","--","--","-8","--","No","00:00:36,5","8","--","37","20","44","00:37:35","00:37:38","-6","6"
