Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-07-21 10:51:12,false,"Diemen - Endurance run (hills)","9,03","593",00:46:58,153,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-07-18 21:14:36,false,"Diemen Open Water Swimming","0,51","100",00:13:14,116,138,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Walking,2026-07-18 12:54:03,false,"Diemen Walking","3,25","176",01:07:30,69,97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virtual Cycling,2026-07-17 21:25:54,false,"Zwift - FTP Test [Standard]","17,96","325",00:45:25,131,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-16 12:31:48,false,"Diemen - Endurance run w/ strides (4 x 15","9,03","605",00:47:51,154,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-07-15 11:52:45,false,"Endurance ride w/ spin-ups","31,29","614",01:15:05,126,138,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-07-14 13:03:35,false,"Diemen Open Water Swimming","2,22","463",01:02:27,122,147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-14 12:03:50,false,"Diemen - Recovery run","9,50","657",00:51:19,155,167,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-07-13 19:34:26,false,"Pool Swim","0,80","213",00:25:15,124,145,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Virtual Cycling,2026-07-13 12:04:17,false,"Zwift - Jarvis Seaside Sprint in Watopia","21,16","322",00:49:18,125,156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Walking,2026-07-12 17:15:38,false,"Diemen Walking","5,06","307",01:16:20,76,121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-11 11:24:04,false,"Diemen - Threshold intervals - 6 x 7' [KE","18,02","1161",01:30:49,153,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-10 18:12:55,false,"Diemen - Brick run Z2","2,75","176",00:15:03,137,154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-07-10 13:11:29,false,"Progressive Tempo w/ low cadence [KEY WORKOUT]","52,25","1160",02:15:41,123,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-09 14:18:23,false,"Amsterdam Running","2,96","206",00:18:27,141,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-07-09 12:54:42,false,"Pool Swim","1,10","241",00:32:32,119,156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-09 12:17:04,false,"Diemen Running","2,55","169",00:13:39,153,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-07-08 14:31:22,false,"Endurance ride","37,66","738",01:30:05,118,128,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-07-07 13:10:04,false,"Pool Swim","1,50","273",00:30:12,134,168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-07 10:33:56,false,"Diemen - Endurance run w/ strides (6 x 15","11,60","774",01:00:07,155,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-07-06 13:20:17,false,"Threshold - 4 x 10' [KEY WORKOUT]","31,13","705",01:15:04,135,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-07-05 20:30:52,false,"Diemen Open Water Swimming","1,31","197",00:34:32,107,126,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-05 19:46:29,false,"Diemen Running","5,46","355",00:29:48,143,153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-07-04 12:25:19,false,"Diemen - Threshold intervals - 8 x 5' [KE","15,39","999",01:15:03,163,182,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-07-03 15:57:54,false,"Pool Swim","2,10","428",00:57:56,123,165,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-07-02 22:38:01,false,"Muscular Endurance - 2 x 20' w/ low cadence [KEY W","25,24","531",01:00:18,124,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pool Swim,2026-07-01 13:14:54,false,"Pool Swim","3,20","583",01:22:49,124,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-06-30 19:19:22,false,"Diemen - Recovery run","5,60","368",00:30:03,151,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indoor Cycling,2026-06-30 12:42:33,false,"Threshold - 5 x 7' [KEY WORKOUT]","25,39","581",01:00:15,149,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Running,2026-06-28 18:52:24,false,"Landunvez - Tempo run - Hills [KEY WORKOUT]","15,04","1016",01:14:56,164,177,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Open Water Swimming,2026-06-25 19:34:15,false,"Landunvez Open Water Swimming","0,40","85",00:31:16,76,119,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
